filepath,relative_path,split_folder,class_name,label_idx,width,height,format,sha256
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1.jpg,Training\glioma\Tr-gl_1.jpg,Training,glioma,0,512,512,JPG,5ac3fbd85891bf49b4c337ea49d7f382698f960c046a3db1de408a9b2998621a
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_100.jpg,Training\glioma\Tr-gl_100.jpg,Training,glioma,0,512,512,JPG,544aa9e1829e61d95d5c2b68863dd2bd98bb44eaa198226ee55603218a1f485d
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1000.jpg,Training\glioma\Tr-gl_1000.jpg,Training,glioma,0,512,512,JPG,88b2a7e2adcc2f9b23ef908bb3063f2585068b350ab86a26f32fb3ab02667553
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1001.jpg,Training\glioma\Tr-gl_1001.jpg,Training,glioma,0,512,512,JPG,48a0ad607d04b380ae7c8a40558677f63351ea6696b706cf6d117a515ad18785
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1002.jpg,Training\glioma\Tr-gl_1002.jpg,Training,glioma,0,512,512,JPG,dd00d89233f404ed4f8b4787b151a68befd2cc3efe5da630c130d28cdb991d3a
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1003.jpg,Training\glioma\Tr-gl_1003.jpg,Training,glioma,0,512,512,JPG,97aa04dc24789b81bcb1abdbbb96b37ca971252079a9dac50b44318181fed893
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1004.jpg,Training\glioma\Tr-gl_1004.jpg,Training,glioma,0,512,512,JPG,db97040f6fe73fde4a7953a76fb1ba1d59debfe73e53c63c9763e36d2c0abf39
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1005.jpg,Training\glioma\Tr-gl_1005.jpg,Training,glioma,0,512,512,JPG,ffccb350b1c9ddcc6ad393e1fa999ce672803d3f0d4e2014412a6fe339cef517
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1006.jpg,Training\glioma\Tr-gl_1006.jpg,Training,glioma,0,512,512,JPG,bb1da64a8aba9ce85e725c7a9abf54b8ed1136b6b699d391d53a6e3e9c4cb4bc
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1007.jpg,Training\glioma\Tr-gl_1007.jpg,Training,glioma,0,512,512,JPG,ac351c84fb6bd5058eebe90141c50bf043c4b327b51f4e434de9ef9284c3ded9
C:\Users\darsh\OneDrive\Desktop\AI Project\data\raw\Training\glioma\Tr-gl_1008.jpg,Training\glioma\Tr-gl_1008.jpg,Training,glioma,0,512,512,JPG,22e90c3dbdb61992cf8447bb04857cae0cecbb0b481e172702740cbef6a79b2d
